band,freq_mhz,active,lambda_half_m,lambda_qtr_m,wire_len_m,L_over_lhalf,R_wire_ohm,X_wire_ohm,vswr_no_cp,vswr_with_cp,Z_eff_ohm,Zcp_ohm,unun_ratio,avoidance_score,quality_rating,cp_len_m,cp_height_m,num_radials
160m,1.9,NO,78.8928,39.4464,15.3,0.1939,952.42,1407.89,60.708,,,,25.0,0.1939,★★  GOOD,10.215,5.0,1
80m,3.65,NO,41.0675,20.5337,15.3,0.3726,97.29,1076.81,240.816,,,,25.0,0.1274,★★  GOOD,10.215,5.0,1
60m,5.359,NO,27.9709,13.9855,15.3,0.547,54.97,-436.52,71.32,,,,25.0,0.047,✗   RESONANCE RISK,10.215,5.0,1
40m,7.15,YES,20.9645,10.4823,15.3,0.7298,161.11,492.67,33.634,,,,25.0,0.2298,★★★ EXCELLENT,10.215,5.0,1
30m,10.125,NO,14.8046,7.4023,15.3,1.0335,3811.56,313.08,76.746,,,,25.0,0.0335,✗   RESONANCE RISK,10.215,5.0,1
20m,14.175,YES,10.5747,5.2873,15.3,1.4469,4209.3,-509.4,85.419,,,,25.0,0.0531,✗   RESONANCE RISK,10.215,5.0,1
17m,18.118,NO,8.2733,4.1367,15.3,1.8493,1608.8,-1217.31,50.609,,,,25.0,0.1507,★★  GOOD,10.215,5.0,1
15m,21.225,NO,7.0622,3.5311,15.3,2.1664,1340.96,1298.01,51.966,,,,25.0,0.1664,★★  GOOD,10.215,5.0,1
12m,24.94,NO,6.0103,3.0051,15.3,2.5456,54.68,-424.29,67.837,,,,25.0,0.0456,✗   RESONANCE RISK,10.215,5.0,1
10m,28.85,NO,5.1957,2.5979,15.3,2.9447,3509.72,-510.44,71.679,,,,25.0,0.0553,✗   RESONANCE RISK,10.215,5.0,1
6m,52.0,NO,2.8826,1.4413,15.3,5.3077,205.69,1402.59,195.639,,,,25.0,0.1923,★★  GOOD,10.215,5.0,1
